show_id,type,title,director,country,date_added,release_year,rating,duration,listed_in
s3436,TV Show,Beyblade Burst Turbo,Not Given,Pakistan,10/10/2019,2018,TV-Y7,1 Season,"Anime Series, Kids' TV"
s4322,TV Show,Pine Gap,Mat King,Australia,12/7/2018,2018,TV-MA,1 Season,"International TV Shows, TV Dramas"
s7160,Movie,Kaakan,Kranti Redkar,India,3/1/2018,2015,TV-PG,132 min,"Dramas, International Movies, Romantic Movies"
s7229,Movie,Krish Trish and Baltiboy: Best Friends Forever,"Munjal Shroff, Tilak Shetty",Not Given,9/8/2017,2016,TV-Y,65 min,Children & Family Movies
s6909,Movie,Hadi İnşallah,Ali Taner Baltacı,Turkey,4/4/2018,2014,TV-14,95 min,"Comedies, International Movies, Romantic Movies"
s1205,Movie,The Last Blockbuster,Taylor Morden,United States,3/15/2021,2020,TV-14,87 min,Documentaries
s611,Movie,Underworld,Len Wiseman,United States,7/1/2021,2003,R,121 min,"Action & Adventure, Horror Movies, Sci-Fi & Fantasy"
s46,Movie,My Heroes Were Cowboys,Tyler Greco,Not Given,9/16/2021,2021,PG,23 min,Documentaries
s7219,Movie,Knock Knock,Eli Roth,United States,11/1/2020,2015,R,99 min,"Horror Movies, Thrillers"
s1898,Movie,Serious Men,Sudhir Mishra,India,10/2/2020,2020,TV-MA,115 min,"Comedies, Dramas, International Movies"
s5780,Movie,Unchained: The Untold Story of Freestyle Motocross,"Paul Taublieb, Jon Freeman",United States,10/1/2016,2016,TV-MA,92 min,"Documentaries, Sports Movies"
s3227,Movie,The Body Remembers When the World Broke Open,"Elle-Máijá Tailfeathers, Kathleen Hepburn",Canada,11/27/2019,2019,TV-MA,106 min,"Dramas, Independent Movies"
s6119,Movie,All Hallows' Eve,Charlie Vaughn,United States,8/1/2017,2016,TV-G,92 min,"Children & Family Movies, Independent Movies"
s4895,Movie,Pocoyo Carnival,Not Given,Pakistan,5/1/2018,2015,TV-Y,22 min,Movies
s3292,TV Show,Put Your Head on My Shoulder,Not Given,China,11/11/2019,2019,TV-14,1 Season,"International TV Shows, Romantic TV Shows, Teen TV Shows"
s5344,Movie,Icarus,Bryan Fogel,United States,8/4/2017,2017,TV-MA,121 min,"Documentaries, Sports Movies"
s8577,Movie,This Is Not What I Expected,Derek Hui,China,10/14/2017,2017,TV-PG,107 min,"Comedies, International Movies, Romantic Movies"
s2945,TV Show,Who Killed Malcolm X?,Not Given,United States,2/7/2020,2020,TV-MA,1 Season,"Crime TV Shows, Docuseries"
s2605,Movie,A Secret Love,Chris Bolan,United States,4/29/2020,2020,TV-14,83 min,"Documentaries, LGBTQ Movies"
s8049,Movie,Social Animals,Jonathan Ignatius Green,United States,3/19/2019,2018,TV-MA,87 min,Documentaries
s7773,TV Show,Power Rangers S.P.D.,Not Given,United States,1/1/2016,2005,TV-Y7,1 Season,Kids' TV
s4043,TV Show,American Crime Story: The People v. O.J. Simpson,Not Given,United States,3/6/2019,2016,TV-MA,1 Season,"Crime TV Shows, TV Dramas"
s5104,TV Show,La Mante,Not Given,France,12/29/2017,2017,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas"
s7822,Movie,Rahasya,Manish Gupta,India,3/1/2018,2015,TV-14,117 min,"Dramas, International Movies"
s4489,TV Show,Ask the Doctor,Not Given,Australia,10/19/2018,2017,TV-PG,1 Season,"Docuseries, International TV Shows, Science & Nature TV"
s7369,TV Show,Mad Men,Not Given,United States,3/22/2015,2014,TV-14,7 Seasons,TV Dramas
